,date,ground,match_id
0,2014-04-16,Zayed Cricket Stadium,01
1,2014-04-17,Sharjah Cricket Stadium,02
2,2014-04-18,Zayed Cricket Stadium,03
3,2014-04-18,Zayed Cricket Stadium,04
4,2014-04-19,Dubai International Stadium,05
5,2014-04-19,Dubai International Stadium,06
6,2014-04-20,Sharjah Cricket Stadium,07
7,2014-04-21,Zayed Cricket Stadium,08
8,2014-04-22,Sharjah Cricket Stadium,09
9,2014-04-23,Dubai International Stadium,10
10,2014-04-24,Sharjah Cricket Stadium,11
11,2014-04-25,Dubai International Stadium,12
12,2014-04-25,Dubai International Stadium,13
13,2014-04-26,Zayed Cricket Stadium,14
14,2014-04-26,Zayed Cricket Stadium,15
15,2014-04-27,Sharjah Cricket Stadium,16
16,2014-04-27,Sharjah Cricket Stadium,17
17,2014-04-28,Dubai International Stadium,18
18,2014-04-29,Zayed Cricket Stadium,19
19,2014-04-30,Dubai International Stadium,20
20,2014-05-02,JSCA Stadium,21
21,2014-05-03,Wankhede Stadium,22
22,2014-05-03,Kotla,23
23,2014-05-04,Chinnaswamy,24
24,2014-05-05,Sardar Patel Stadium,25
25,2014-05-05,Kotla,26
26,2014-05-06,Wankhede Stadium,27
27,2014-05-07,Kotla,28
28,2014-05-07,Barabati Stadium,29
29,2014-05-08,Sardar Patel Stadium,30
30,2014-05-09,Chinnaswamy,31
31,2014-05-10,Kotla,32
32,2014-05-10,Wankhede Stadium,33
33,2014-05-11,Barabati Stadium,34
34,2014-05-11,Chinnaswamy,35
35,2014-05-12,RGI Stadium,36
36,2014-05-13,JSCA Stadium,37
37,2014-05-13,Chinnaswamy,38
38,2014-05-14,RGI Stadium,39
39,2014-05-14,Barabati Stadium,40
40,2014-05-15,Sardar Patel Stadium,41
41,2014-05-18,JSCA Stadium,42
42,2014-05-18,RGI Stadium,43
43,2014-05-19,Sardar Patel Stadium,44
44,2014-05-19,Kotla,45
45,2014-05-20,RGI Stadium,46
46,2014-05-20,Eden Gardens,47
47,2014-05-21,PCA Stadium,48
48,2014-05-22,Eden Gardens,49
49,2014-05-22,JSCA Stadium,50
50,2014-05-23,Wankhede Stadium,51
51,2014-05-23,PCA Stadium,52
52,2014-05-24,Chinnaswamy,53
53,2014-05-24,Eden Gardens,54
54,2014-05-25,PCA Stadium,55
55,2014-05-25,Wankhede Stadium,56
56,2014-05-28,Eden Gardens,57
57,2014-05-28,Brabourne Stadium,58
58,2014-05-30,Wankhede Stadium,59
59,2014-06-01,Chinnaswamy,60
