batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
MI,KKR,1,1.1,1,595,155,169,-1,Lendl Simmons,CM Gautam,Morne Morkel,,,,39.043,0,0,,y,6.738,-0.237,-0.103,0.884,51,35,West Indian,Indian,South African,1985-01-25,1986-03-08,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,1.2,2,595,155,169,-1,Lendl Simmons,CM Gautam,Morne Morkel,,,,40.375,1,0,Lb,y,8.190,-0.237,0.240,1.056,71,26,West Indian,Indian,South African,1985-01-25,1986-03-08,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,1.3,3,155,595,169,-1,CM Gautam,Lendl Simmons,Morne Morkel,,,,41.012,0,0,,y,7.531,-0.302,-0.227,0.978,5,5,Indian,West Indian,South African,1986-03-08,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,1.4,4,155,595,169,-1,CM Gautam,Lendl Simmons,Morne Morkel,,,,39.839,0,0,,y,6.129,-0.652,-0.761,0.792,5,5,Indian,West Indian,South African,1986-03-08,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,1.5,5,155,595,169,-1,CM Gautam,Lendl Simmons,Morne Morkel,,,,40.685,2,0,Wd,y,6.242,0.003,0.559,0.786,5,5,Indian,West Indian,South African,1986-03-08,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,1.6,5,595,155,169,-1,Lendl Simmons,CM Gautam,Morne Morkel,,,,40.811,0,0,,y,7.631,-0.377,-0.142,0.898,48,37,West Indian,Indian,South African,1985-01-25,1986-03-08,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,1.7,6,595,155,169,-1,Lendl Simmons,CM Gautam,Morne Morkel,,,,40.122,0,0,,y,8.358,-0.320,-0.118,0.896,52,37,West Indian,Indian,South African,1985-01-25,1986-03-08,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,2.1,1,155,595,59,-1,CM Gautam,Lendl Simmons,Umesh Yadav,,,,37.660,0,0,,y,5.348,-0.391,-0.506,0.671,32,37,Indian,West Indian,Indian,1986-03-08,1985-01-25,1987-10-25,40,2014-05-14 23:13:31.982000
MI,KKR,1,2.2,2,155,595,59,-1,CM Gautam,Lendl Simmons,Umesh Yadav,,,,37.946,0,0,,y,6.083,-0.297,-0.307,0.663,5,5,Indian,West Indian,Indian,1986-03-08,1985-01-25,1987-10-25,40,2014-05-14 23:13:31.982000
MI,KKR,1,2.3,3,155,595,59,-1,CM Gautam,Lendl Simmons,Umesh Yadav,,,,38.476,4,4,,y,5.468,0.108,0.328,0.593,68,8,Indian,West Indian,Indian,1986-03-08,1985-01-25,1987-10-25,40,2014-05-14 23:13:31.982000
MI,KKR,1,2.4,4,155,595,59,-1,CM Gautam,Lendl Simmons,Umesh Yadav,,,,40.055,1,1,,y,5.868,-0.364,-0.250,0.662,33,45,Indian,West Indian,Indian,1986-03-08,1985-01-25,1987-10-25,40,2014-05-14 23:13:31.982000
MI,KKR,1,2.5,5,595,155,59,-1,Lendl Simmons,CM Gautam,Umesh Yadav,,,,39.350,1,1,,y,5.860,-0.120,0.034,0.694,40,60,West Indian,Indian,Indian,1985-01-25,1986-03-08,1987-10-25,40,2014-05-14 23:13:31.982000
MI,KKR,1,2.6,6,155,595,59,-1,CM Gautam,Lendl Simmons,Umesh Yadav,,,,37.523,3,3,,y,5.913,-0.277,-0.103,0.671,89,49,Indian,West Indian,Indian,1986-03-08,1985-01-25,1987-10-25,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.1,1,155,595,169,-1,CM Gautam,Lendl Simmons,Morne Morkel,,,,-1.000,0,0,,y,,,,,5,5,Indian,West Indian,South African,1986-03-08,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.2,2,155,595,169,155,CM Gautam,Lendl Simmons,Morne Morkel,c Suryakumar Yadav b Morne Morkel,CM Gautam,caught fielder,41.997,0,0,,y,5.598,-0.141,0.138,0.674,0,0,Indian,West Indian,South African,1986-03-08,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.3,3,100,595,169,-1,Ambati Rayudu,Lendl Simmons,Morne Morkel,,,,38.686,1,0,Wd,y,4.924,0.055,0.260,0.559,5,5,Indian,West Indian,South African,1985-09-23,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.4,3,100,595,169,-1,Ambati Rayudu,Lendl Simmons,Morne Morkel,,,,40.343,2,1,Nb,y,8.408,-0.348,-0.048,0.756,66,43,Indian,West Indian,South African,1985-09-23,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.5,3,595,100,169,-1,Lendl Simmons,Ambati Rayudu,Morne Morkel,,,,39.177,1,0,Wd,y,12.215,-0.561,-0.196,2.174,5,5,West Indian,Indian,South African,1985-01-25,1985-09-23,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.6,3,595,100,169,-1,Lendl Simmons,Ambati Rayudu,Morne Morkel,,,,40.290,1,1,,y,1.426,0.117,0.197,0.174,69,33,West Indian,Indian,South African,1985-01-25,1985-09-23,1984-10-06,40,2014-05-14 23:13:31.982000
MI,KKR,1,3.7,4,100,595,169,-1,Ambati Rayudu,Lendl Simmons,Morne Morkel,,,,40.973,0,0,,y,6.890,-0.253,-0.057,0.884,45,32,Indian,West Indian,South African,1985-09-23,1985-01-25,1984-10-06,40,2014-05-14 23:13:31.982000
